ALPHA=50
BETA=80
OMEGA=2000
NoNode=424
-1354,-6000,14646,-5800,1
-1354,-5614,14646,-5414,2
-1354,-5227,14646,-5027,1
-1354,9027,14646,9227,1
-1354,9413,14646,9613,2
-1354,9800,14646,10000,1
-1190,-4807,-426,-4687,2
-1190,-4497,-426,-4377,2
-1190,-4161,-426,-4041,2
-1190,-3692,-426,-3572,2
-1190,-3350,-426,-3230,2
-1190,-2961,-426,-2841,1
-1190,-2598,-426,-2478,2
-1190,-2082,-426,-1962,1
-1190,-1667,-426,-1547,2
-1190,-1256,-426,-1136,1
-1190,-815,-426,-695,2
-1190,-378,-426,-258,1
-1190,201,-426,321,1
-1190,511,-426,631,1
-1190,847,-426,967,2
-1190,1316,-426,1436,1
-1190,1658,-426,1778,2
-1190,2047,-426,2167,2
-1190,2410,-426,2530,2
-1190,2926,-426,3046,1
-1190,3341,-426,3461,2
-1190,3752,-426,3872,1
-1190,4193,-426,4313,1
-1190,4630,-426,4750,2
-1190,5312,-426,5432,1
-1190,5654,-426,5774,2
-1190,6043,-426,6163,2
-1190,6406,-426,6526,2
-1190,6922,-426,7042,1
-1190,7337,-426,7457,2
-1190,7748,-426,7868,1
-1190,8189,-426,8309,2
-1190,8626,-426,8746,2
-85,-4835,13341,-4685,2
-85,-3360,13341,-3210,1
-85,-1812,13341,-1662,2
-85,-336,13341,-186,1
-85,1103,13341,1253,1
-85,2579,13341,2729,1
-85,4055,13341,4205,1
-85,5638,13341,5788,2
-85,7186,13341,7336,1
-85,8697,13341,8847,2
72,-4513,192,-3510,2
72,-3028,192,-2025,1
72,-1516,192,-513,2
72,-58,192,945,2
72,1435,192,2438,1
72,2875,192,3878,1
72,4458,192,5461,1
72,5934,192,6937,1
72,7499,192,8502,2
381,-4513,501,-3510,1
381,-3028,501,-2025,2
381,-1516,501,-513,1
381,-58,501,945,2
381,1435,501,2438,2
381,2875,501,3878,2
381,4458,501,5461,2
381,5934,501,6937,2
381,7499,501,8502,1
709,-4513,829,-3510,2
709,-3028,829,-2025,2
709,-1516,829,-513,1
709,-58,829,945,2
709,1435,829,2438,1
709,2875,829,3878,2
709,4458,829,5461,1
709,5934,829,6937,2
709,7499,829,8502,1
1037,-4513,1157,-3510,2
1037,-3028,1157,-2025,2
1037,-1516,1157,-513,2
1037,-58,1157,945,2
1037,1435,1157,2438,1
1037,2875,1157,3878,2
1037,4458,1157,5461,2
1037,5934,1157,6937,2
